2025-03-17,Monday,Lunch,Gawar ki sabji
2025-03-17,Monday,Snacks,Sabudana Wada
2025-03-17,Monday,Dinner,Cabbage channa dry
2025-03-18,Tuesday,Breakfast,Rajma Masala
2025-03-18,Tuesday,Lunch,Methi moong dal
2025-03-18,Tuesday,Snacks,Bread Pakoda
2025-03-18,Tuesday,Dinner,Mix Veg Maratha
2025-03-19,Wednesday,Breakfast,Aloo Gobi
2025-03-19,Wednesday,Lunch,Mashroom Mutter Masala
2025-03-19,Wednesday,Snacks,Maggi
2025-03-19,Wednesday,Dinner,Paneer Masala
2025-03-20,Thursday,Breakfast,Methi Paratha
2025-03-20,Thursday,Lunch,Dum Aloo Punjabi
2025-03-20,Thursday,Snacks,Khaman Dhokla
2025-03-20,Thursday,Dinner,Phodani Bhaat
2025-03-21,Friday,Breakfast,Masala Omelette
2025-03-21,Friday,Lunch,Triveni Dal
2025-03-21,Friday,Snacks,Vermicelli Upma
2025-03-21,Friday,Dinner,Paneer Mutter Masala
2025-03-22,Saturday,Breakfast,Masala Uttampam
2025-03-22,Saturday,Lunch,Chole masala
2025-03-22,Saturday,Snacks,Vada Pav
2025-03-22,Saturday,Dinner,Veg Kurma
2025-03-23,Sunday,Brunch,Chicken Fried Rice
2025-03-23,Sunday,Snacks,Masala Poha
2025-03-23,Sunday,Dinner,Chawali Masala
2025-03-24,Monday,Breakfast,Medu wada
2025-03-24,Monday,Lunch,Dum Aloo
2025-03-24,Monday,Snacks,Butter Corn
2025-03-24,Monday,Dinner,Aloo Mutter
2025-03-25,Tuesday,Breakfast,Veg Poha
2025-03-25,Tuesday,Lunch,Corn Palak
2025-03-25,Tuesday,Snacks,Maggi
2025-03-25,Tuesday,Dinner,Gobi Aloo Dry
2025-03-26,Wednesday,Breakfast,Tomato Omlette
2025-03-26,Wednesday,Lunch,Dal Tadka
2025-03-26,Wednesday,Snacks,Dabeli
2025-03-26,Wednesday,Dinner,Chicken Kolhapuri
2025-03-27,Thursday,Breakfast,Missi Roti
2025-03-27,Thursday,Lunch,Sev Tamatar Ki Sabji
2025-03-27,Thursday,Snacks,Sabudana Wada
2025-03-27,Thursday,Dinner,Dahi Kadhi
2025-03-28,Friday,Breakfast,Paneer Bhurji
2025-03-28,Friday,Lunch,Dahi kadhi pakaoda
2025-03-28,Friday,Snacks,Channa Chaat
2025-03-28,Friday,Dinner,Nargisi Kofta Curry
2025-03-29,Saturday,Breakfast,Dalia Upma
2025-03-29,Saturday,Lunch,Aloo Capsicum Dry
2025-03-29,Saturday,Snacks,Dabeli
2025-03-29,Saturday,Dinner,Bhindi Onion Dry
2025-03-30,Sunday,Brunch,Chicken Pehadi Masala
2025-03-30,Sunday,Snacks,Soy Manchurian Dry
2025-03-30,Sunday,Dinner,Whole Masoor Masala
2025-03-31,Monday,Breakfast,Missi Roti
2025-03-31,Monday,Lunch,Rajma Masala
2025-03-31,Monday,Snacks,Masala Poha
2025-03-31,Monday,Dinner,Tawa Pulao
